dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	3.0	3.0	2.8	3.0	3.2	0.2	14406.8	12.2	0
40	3.1	3.1	3.0	3.0	3.0	0.0	14990.3	12.1	3.09278350515464
60	3.2	3.2	2.6	2.9	3.2	0.2	15516.0	11.9	7.52688172043011
80	3.2	3.2	1.6	2.8	3.2	0.6	16170.6	11.3	14.9425287356322
100	3.2	3.2	0.6	2.6	3.2	1.0	17047.5	10.6	25
120	3.2	3.2	0.0	2.3	3.0	1.2	18272.0	9.4	40.8450704225352
140	3.3	3.3	0.0	2.1	3.2	1.4	19512.5	8.6	53.8461538461538
160	3.2	3.2	0.0	1.8	3.2	1.5	20920.3	7.1	81.8181818181818
180	3.0	3.0	0.0	1.6	3.0	1.5	21743.3	6.0	104.081632653061
200	3.0	3.0	0.0	1.7	3.2	1.5	21622.9	6.3	96.078431372549
