starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 14:43:10 2013	1371998590	0	3001	3001	2999
Sun Jun 23 14:43:04 2013	1371998584	0	3022	3022	3020
Sun Jun 23 14:43:16 2013	1371998596	0	3035	3035	3034
Sun Jun 23 14:43:01 2013	1371998581	0	3040	3040	3039
Sun Jun 23 14:43:26 2013	1371998606	0	3072	3072	3070
Sun Jun 23 14:42:58 2013	1371998578	1	3106	3106	3101
Sun Jun 23 14:43:19 2013	1371998599	0	3138	3138	3137
Sun Jun 23 14:43:13 2013	1371998593	0	3169	3169	3167
Sun Jun 23 14:43:07 2013	1371998587	0	3176	3176	3175
Sun Jun 23 14:43:23 2013	1371998603	0	3203	3203	3202
