starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 15:09:18 2013	1372000158	0	20945	20945	20941
Sun Jun 23 15:06:29 2013	1371999989	0	21009	21009	21005
Sun Jun 23 15:08:35 2013	1372000115	0	21054	21054	21050
Sun Jun 23 15:07:53 2013	1372000073	0	21079	21079	21076
Sun Jun 23 15:06:50 2013	1372000010	0	21085	21085	21082
Sun Jun 23 15:07:32 2013	1372000052	0	21123	21123	21119
Sun Jun 23 15:06:07 2013	1371999967	1	21127	21128	21118
Sun Jun 23 15:07:11 2013	1372000031	0	21143	21143	21139
Sun Jun 23 15:08:14 2013	1372000094	0	21155	21155	21151
Sun Jun 23 15:08:56 2013	1372000136	0	21404	21404	21399
