starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 15:17:35 2013	1372000655	0	15097	15097	15094
Sun Jun 23 15:17:19 2013	1372000639	1	16438	16438	16435
Sun Jun 23 15:18:08 2013	1372000688	0	16731	16731	16729
Sun Jun 23 15:17:50 2013	1372000670	0	17721	17722	17718
Sun Jun 23 15:16:09 2013	1372000569	0	22459	22459	22458
Sun Jun 23 15:16:55 2013	1372000615	0	23495	23495	23492
Sun Jun 23 15:14:57 2013	1372000497	1	23687	23688	23679
Sun Jun 23 15:15:21 2013	1372000521	0	23779	23779	23776
Sun Jun 23 15:16:31 2013	1372000591	0	23969	23970	23968
Sun Jun 23 15:15:45 2013	1372000545	0	24005	24006	24002
