starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 24 13:36:58 2013	1372081018	0	2267	2267	2266
Mon Jun 24 13:36:43 2013	1372081003	0	2448	2449	2448
Mon Jun 24 13:36:53 2013	1372081013	0	2502	2502	2502
Mon Jun 24 13:36:55 2013	1372081015	0	2511	2511	2511
Mon Jun 24 13:36:37 2013	1372080997	1	2524	2525	2523
Mon Jun 24 13:36:48 2013	1372081008	0	2539	2539	2538
Mon Jun 24 13:36:50 2013	1372081010	0	2548	2548	2548
Mon Jun 24 13:37:00 2013	1372081020	0	2688	2688	2688
Mon Jun 24 13:36:45 2013	1372081005	0	2698	2698	2698
Mon Jun 24 13:36:40 2013	1372081000	0	2877	2877	2877
