starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 24 13:48:59 2013	1372081739	0	1426	1426	1425
Mon Jun 24 13:49:08 2013	1372081748	0	1442	1442	1441
Mon Jun 24 13:49:02 2013	1372081742	0	1443	1443	1443
Mon Jun 24 13:48:56 2013	1372081736	0	1448	1448	1448
Mon Jun 24 13:49:05 2013	1372081745	0	1459	1459	1459
Mon Jun 24 13:49:07 2013	1372081747	0	1543	1543	1543
Mon Jun 24 13:49:04 2013	1372081744	0	1594	1594	1593
Mon Jun 24 13:48:58 2013	1372081738	0	1596	1596	1595
Mon Jun 24 13:49:01 2013	1372081741	0	1603	1603	1602
Mon Jun 24 13:48:55 2013	1372081735	1	1602	1603	1601
