starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 17:03:33 2013	1372007013	0	8970	8970	8968
Sun Jun 23 17:03:56 2013	1372007036	0	13242	13242	13238
Sun Jun 23 17:03:42 2013	1372007022	0	14801	14801	14798
Sun Jun 23 17:03:18 2013	1372006998	0	14825	14825	14821
Sun Jun 23 17:03:03 2013	1372006983	0	14879	14879	14877
Sun Jun 23 17:04:43 2013	1372007083	0	16145	16145	16142
Sun Jun 23 17:04:10 2013	1372007050	0	16379	16379	16375
Sun Jun 23 17:04:26 2013	1372007066	0	16465	16465	16462
Sun Jun 23 17:04:59 2013	1372007099	0	16541	16541	16538
Sun Jun 23 17:02:46 2013	1372006966	0	16681	16681	16676
