starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 21:04:50 2013	1372021490	0	2244	2244	2242
Sun Jun 23 21:04:47 2013	1372021487	0	2256	2257	2252
Sun Jun 23 21:04:54 2013	1372021494	0	2266	2266	2264
Sun Jun 23 21:04:57 2013	1372021497	0	2304	2304	2301
Sun Jun 23 21:04:52 2013	1372021492	0	2388	2388	2386
Sun Jun 23 21:05:05 2013	1372021505	0	3080	3080	3077
Sun Jun 23 21:05:11 2013	1372021511	0	3109	3109	3106
Sun Jun 23 21:05:08 2013	1372021508	0	3114	3114	3111
Sun Jun 23 21:04:59 2013	1372021499	0	3116	3116	3113
Sun Jun 23 21:05:02 2013	1372021502	0	3155	3155	3153
