starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 20:36:17 2013	1372019777	0	2166	2166	2165
Sun Jun 23 20:36:15 2013	1372019775	0	2168	2168	2167
Sun Jun 23 20:36:13 2013	1372019773	0	2208	2208	2207
Sun Jun 23 20:36:19 2013	1372019779	0	2221	2221	2220
Sun Jun 23 20:36:22 2013	1372019782	0	2223	2223	2222
Sun Jun 23 20:36:24 2013	1372019784	0	2239	2239	2238
Sun Jun 23 20:36:10 2013	1372019770	0	2573	2573	2572
Sun Jun 23 20:36:05 2013	1372019765	0	4895	4895	4894
Sun Jun 23 20:35:59 2013	1372019759	0	6841	6841	6839
Sun Jun 23 20:35:48 2013	1372019748	0	10231	10231	10226
