starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 20:48:36 2013	1372020516	0	2003	2003	2001
Sun Jun 23 20:48:34 2013	1372020514	0	2167	2167	2162
Sun Jun 23 20:48:38 2013	1372020518	0	2464	2464	2461
Sun Jun 23 20:49:00 2013	1372020540	0	3051	3051	3048
Sun Jun 23 20:48:53 2013	1372020533	0	3075	3076	3073
Sun Jun 23 20:48:44 2013	1372020524	0	3102	3102	3099
Sun Jun 23 20:48:41 2013	1372020521	0	3105	3105	3101
Sun Jun 23 20:48:50 2013	1372020530	0	3126	3127	3124
Sun Jun 23 20:48:56 2013	1372020536	0	3163	3163	3160
Sun Jun 23 20:48:47 2013	1372020527	0	3231	3231	3229
