starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 20:35:26 2013	1372019726	0	1672	1672	1670
Sun Jun 23 20:35:24 2013	1372019724	0	1978	1978	1976
Sun Jun 23 20:35:20 2013	1372019720	0	2143	2143	2138
Sun Jun 23 20:35:42 2013	1372019742	0	2255	2255	2253
Sun Jun 23 20:35:22 2013	1372019722	0	2344	2344	2341
Sun Jun 23 20:35:40 2013	1372019740	0	2424	2424	2422
Sun Jun 23 20:35:28 2013	1372019728	0	2530	2530	2526
Sun Jun 23 20:35:34 2013	1372019734	0	3001	3001	2997
Sun Jun 23 20:35:37 2013	1372019737	0	3130	3130	3127
Sun Jun 23 20:35:31 2013	1372019731	0	3163	3163	3160
