starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 20:48:18 2013	1372020498	0	3934	3934	3933
Sun Jun 23 20:48:22 2013	1372020502	0	4164	4164	4163
Sun Jun 23 20:48:14 2013	1372020494	0	4305	4305	4304
Sun Jun 23 20:48:03 2013	1372020483	0	10949	10949	10948
Sun Jun 23 20:47:51 2013	1372020471	0	11976	11976	11973
Sun Jun 23 20:47:32 2013	1372020452	0	19237	19237	19235
Sun Jun 23 20:47:12 2013	1372020432	0	19390	19390	19387
Sun Jun 23 20:46:04 2013	1372020364	0	21779	21779	21769
Sun Jun 23 20:46:26 2013	1372020386	0	23018	23018	23015
Sun Jun 23 20:46:49 2013	1372020409	0	23143	23143	23141
