starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 20:33:23 2013	1372019603	0	8483	8483	8480
Sun Jun 23 20:33:01 2013	1372019581	0	9938	9938	9936
Sun Jun 23 20:31:32 2013	1372019492	0	11883	11883	11877
Sun Jun 23 20:33:10 2013	1372019590	0	12742	12743	12740
Sun Jun 23 20:32:48 2013	1372019568	0	12908	12908	12905
Sun Jun 23 20:32:17 2013	1372019537	0	14164	14164	14161
Sun Jun 23 20:32:31 2013	1372019551	0	16410	16410	16407
Sun Jun 23 20:32:00 2013	1372019520	0	16673	16673	16670
Sun Jun 23 20:33:32 2013	1372019612	0	16813	16813	16809
Sun Jun 23 20:31:43 2013	1372019503	0	16923	16923	16919
