starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 20:27:29 2013	1372019249	0	14078	14079	14077
Sun Jun 23 20:27:14 2013	1372019234	0	15350	15350	15347
Sun Jun 23 20:25:01 2013	1372019101	0	19786	19786	19783
Sun Jun 23 20:25:20 2013	1372019120	0	19844	19844	19840
Sun Jun 23 20:25:40 2013	1372019140	0	22582	22582	22578
Sun Jun 23 20:24:09 2013	1372019049	0	22983	22983	22976
Sun Jun 23 20:26:50 2013	1372019210	0	23588	23589	23585
Sun Jun 23 20:26:03 2013	1372019163	0	23671	23672	23668
Sun Jun 23 20:26:26 2013	1372019186	0	23911	23911	23908
Sun Jun 23 20:24:32 2013	1372019072	0	28596	28596	28593
