starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 20:52:31 2013	1372020751	0	8237	8237	8148
Sun Jun 23 20:51:26 2013	1372020686	0	12168	12168	12167
Sun Jun 23 20:52:18 2013	1372020738	0	12938	12938	12936
Sun Jun 23 20:52:58 2013	1372020778	0	13442	13442	13440
Sun Jun 23 20:53:12 2013	1372020792	0	14958	14958	14956
Sun Jun 23 20:51:10 2013	1372020670	0	16019	16019	16015
Sun Jun 23 20:51:38 2013	1372020698	0	18891	18891	18888
Sun Jun 23 20:52:39 2013	1372020759	0	19094	19094	19092
Sun Jun 23 20:50:51 2013	1372020651	0	19119	19119	19114
Sun Jun 23 20:51:57 2013	1372020717	0	20662	20662	20657
