starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 16:39:16 2013	1372005556	0	2291	2291	2288
Sun Jun 23 16:39:23 2013	1372005563	0	2337	2337	2335
Sun Jun 23 16:39:25 2013	1372005565	0	2340	2340	2338
Sun Jun 23 16:39:18 2013	1372005558	0	2405	2405	2403
Sun Jun 23 16:39:21 2013	1372005561	0	2433	2433	2431
Sun Jun 23 16:39:13 2013	1372005553	0	2771	2771	2769
Sun Jun 23 16:39:01 2013	1372005541	0	2911	2911	2900
Sun Jun 23 16:39:04 2013	1372005544	0	2925	2925	2922
Sun Jun 23 16:39:10 2013	1372005550	0	2930	2930	2927
Sun Jun 23 16:39:07 2013	1372005547	0	3043	3043	3040
