starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 19:11:21 2013	1372014681	0	4447	4447	4446
Sun Jun 23 19:11:35 2013	1372014695	0	4547	4547	4546
Sun Jun 23 19:11:12 2013	1372014672	0	4552	4552	4551
Sun Jun 23 19:10:57 2013	1372014657	0	4661	4661	4660
Sun Jun 23 19:11:25 2013	1372014685	0	4755	4755	4755
Sun Jun 23 19:11:30 2013	1372014690	0	4778	4778	4777
Sun Jun 23 19:11:16 2013	1372014676	0	4827	4827	4825
Sun Jun 23 19:11:02 2013	1372014662	0	4837	4837	4835
Sun Jun 23 19:11:07 2013	1372014667	0	4907	4907	4906
Sun Jun 23 19:10:52 2013	1372014652	0	5030	5030	5028
