starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 20:35:10 2013	1372019710	0	3157	3157	3156
Sun Jun 23 20:34:49 2013	1372019689	0	3182	3182	3181
Sun Jun 23 20:34:43 2013	1372019683	0	3233	3233	3232
Sun Jun 23 20:34:46 2013	1372019686	0	3235	3235	3234
Sun Jun 23 20:35:13 2013	1372019713	0	3238	3238	3237
Sun Jun 23 20:35:06 2013	1372019706	0	3900	3900	3899
Sun Jun 23 20:34:39 2013	1372019679	0	3989	3989	3989
Sun Jun 23 20:34:52 2013	1372019692	0	5177	5177	5175
Sun Jun 23 20:34:30 2013	1372019670	0	8853	8853	8849
Sun Jun 23 20:34:57 2013	1372019697	0	8972	8972	8971
