dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	0.4	0.4	0.2	0.4	0.4	0.1	14051.9	2.5	0
40	0.3	0.3	0.2	0.3	0.4	0.1	15805.5	2.1	0
60	0.4	0.4	0.2	0.4	0.4	0.1	14651.5	2.4	0
80	0.4	0.4	0.2	0.4	0.4	0.1	14653.3	2.3	0
100	0.3	0.3	0.2	0.3	0.4	0.1	18548.4	1.9	0
120	0.3	0.3	0.2	0.3	0.4	0.1	18340.6	2.0	0
140	0.4	0.4	0.2	0.4	0.4	0.1	14743.6	2.4	0
160	0.4	0.4	0.2	0.4	0.4	0.1	14955.3	2.3	0
180	0.3	0.3	0.2	0.3	0.4	0.1	16555.4	2.1	0
200	0.4	0.4	0.2	0.3	0.4	0.1	13574.7	2.5	0
