dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	19.8	19.8	19.8	19.8	19.8	19.8	71.8	142.4	0
40	29.5	29.5	28.6	29.2	29.8	0.0	642.1	212.5	0
60	29.8	29.8	28.3	28.3	28.3	0	1080.8	214.4	0
80	30.1	30.1	29.5	29.5	29.5	0	1213.4	217	0
100	30.2	30.2	28.1	28.1	28.1	0	1291.1	217.7	0
120	30.1	30.1	28.9	28.9	28.9	0	1378.4	216.8	0
140	29	29	28.7	28.7	28.7	0	1471.9	208.9	0
160	28.4	28.4	28.1	28.1	28.1	0	1495.1	204.8	0
180	27	27	26.2	26.2	26.2	0	1639.9	194.8	0
200	26.7	26.7	25.4	25.4	25.4	0	1633.6	192	0
