starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 15:27:24 2013	1372001244	0	4405	4405	4405
Sun Jun 23 15:27:20 2013	1372001240	0	4495	4495	4495
Sun Jun 23 15:27:29 2013	1372001249	0	4894	4894	4894
Sun Jun 23 15:27:13 2013	1372001233	0	6958	6958	6958
Sun Jun 23 15:25:34 2013	1372001134	0	18256	18256	18256
Sun Jun 23 15:26:54 2013	1372001214	0	18686	18686	18685
Sun Jun 23 15:26:13 2013	1372001173	0	20035	20035	20034
Sun Jun 23 15:25:52 2013	1372001152	0	20132	20132	20131
Sun Jun 23 15:26:33 2013	1372001193	0	21559	21559	21559
Sun Jun 23 15:25:12 2013	1372001112	0	22653	22653	22652
