starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 20:11:53 2013	1372018313	0	5221	5221	5221
Sun Jun 23 20:11:42 2013	1372018302	0	11084	11084	11084
Sun Jun 23 20:10:13 2013	1372018213	0	14139	14139	14139
Sun Jun 23 20:10:27 2013	1372018227	0	16280	16281	16280
Sun Jun 23 20:09:36 2013	1372018176	0	16475	16475	16475
Sun Jun 23 20:10:43 2013	1372018243	0	17006	17006	17005
Sun Jun 23 20:09:17 2013	1372018157	1	18689	18689	18688
Sun Jun 23 20:09:52 2013	1372018192	0	20478	20478	20478
Sun Jun 23 20:11:22 2013	1372018282	0	20530	20530	20530
Sun Jun 23 20:11:00 2013	1372018260	0	21304	21304	21303
