starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 20:20:28 2013	1372018828	0	10699	10699	10699
Sun Jun 23 20:20:39 2013	1372018839	0	10819	10820	10819
Sun Jun 23 20:21:03 2013	1372018863	0	11454	11454	11454
Sun Jun 23 20:20:49 2013	1372018849	0	13919	13919	13919
Sun Jun 23 20:19:58 2013	1372018798	0	14153	14153	14153
Sun Jun 23 20:21:15 2013	1372018875	0	15828	15828	15828
Sun Jun 23 20:19:09 2013	1372018749	0	15955	15956	15954
Sun Jun 23 20:20:12 2013	1372018812	0	16010	16010	16010
Sun Jun 23 20:19:42 2013	1372018782	0	16011	16011	16010
Sun Jun 23 20:19:25 2013	1372018765	0	16745	16745	16744
