starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 15:34:54 2013	1372001694	0	4158	4158	4158
Sun Jun 23 15:34:58 2013	1372001698	0	4193	4193	4193
Sun Jun 23 15:34:49 2013	1372001689	0	4193	4194	4193
Sun Jun 23 15:34:45 2013	1372001685	0	4201	4201	4201
Sun Jun 23 15:34:37 2013	1372001677	0	4206	4206	4206
Sun Jun 23 15:34:41 2013	1372001681	0	4223	4223	4223
Sun Jun 23 15:34:31 2013	1372001671	0	6022	6022	6022
Sun Jun 23 15:34:16 2013	1372001656	0	14825	14825	14825
Sun Jun 23 15:33:34 2013	1372001614	1	20666	20667	20665
Sun Jun 23 15:33:55 2013	1372001635	0	21085	21085	21085
