starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 21:23:00 2013	1372022580	0	1936	1936	1936
Sun Jun 23 21:22:58 2013	1372022578	0	2003	2003	2003
Sun Jun 23 21:22:56 2013	1372022576	0	2264	2264	2264
Sun Jun 23 21:22:53 2013	1372022573	0	2381	2381	2381
Sun Jun 23 21:22:35 2013	1372022555	1	2863	2864	2862
Sun Jun 23 21:22:50 2013	1372022570	0	2935	2935	2934
Sun Jun 23 21:22:44 2013	1372022564	0	3076	3076	3075
Sun Jun 23 21:22:38 2013	1372022558	0	3086	3086	3085
Sun Jun 23 21:22:41 2013	1372022561	0	3165	3165	3165
Sun Jun 23 21:22:47 2013	1372022567	0	3172	3172	3172
