starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 20:18:38 2013	1372018718	0	4123	4123	4123
Sun Jun 23 20:18:47 2013	1372018727	0	4287	4287	4287
Sun Jun 23 20:18:43 2013	1372018723	0	4639	4639	4638
Sun Jun 23 20:18:34 2013	1372018714	0	4739	4739	4738
Sun Jun 23 20:16:54 2013	1372018614	0	16640	16640	16640
Sun Jun 23 20:18:17 2013	1372018697	0	16916	16916	16916
Sun Jun 23 20:17:56 2013	1372018676	0	20805	20805	20804
Sun Jun 23 20:16:33 2013	1372018593	1	20955	20955	20954
Sun Jun 23 20:17:10 2013	1372018630	0	21524	21524	21524
Sun Jun 23 20:17:32 2013	1372018652	0	24100	24100	24099
