starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 20:12:42 2013	1372018362	0	1652	1652	1652
Sun Jun 23 20:12:27 2013	1372018347	0	1738	1738	1737
Sun Jun 23 20:12:25 2013	1372018345	0	1924	1924	1924
Sun Jun 23 20:12:40 2013	1372018360	0	1942	1942	1942
Sun Jun 23 20:12:38 2013	1372018358	0	2173	2173	2173
Sun Jun 23 20:12:21 2013	1372018341	1	2180	2181	2179
Sun Jun 23 20:12:23 2013	1372018343	0	2355	2355	2355
Sun Jun 23 20:12:35 2013	1372018355	0	3025	3025	3024
Sun Jun 23 20:12:29 2013	1372018349	0	3065	3065	3065
Sun Jun 23 20:12:32 2013	1372018352	0	3082	3082	3082
