starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 20:13:56 2013	1372018436	0	2839	2839	2839
Sun Jun 23 20:14:02 2013	1372018442	0	2845	2846	2845
Sun Jun 23 20:13:47 2013	1372018427	0	2850	2851	2850
Sun Jun 23 20:13:41 2013	1372018421	0	2875	2875	2874
Sun Jun 23 20:13:35 2013	1372018415	1	2877	2877	2876
Sun Jun 23 20:13:53 2013	1372018433	0	2892	2892	2891
Sun Jun 23 20:13:44 2013	1372018424	0	3031	3032	3031
Sun Jun 23 20:13:50 2013	1372018430	0	3033	3033	3033
Sun Jun 23 20:13:59 2013	1372018439	0	3033	3034	3033
Sun Jun 23 20:13:38 2013	1372018418	0	3053	3053	3053
