starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 15:30:28 2013	1372001428	0	9988	9988	9987
Sun Jun 23 15:31:33 2013	1372001493	0	10825	10826	10825
Sun Jun 23 15:30:15 2013	1372001415	1	12769	12771	12769
Sun Jun 23 15:31:20 2013	1372001480	0	13458	13459	13458
Sun Jun 23 15:32:01 2013	1372001521	0	16027	16027	16027
Sun Jun 23 15:32:17 2013	1372001537	0	16365	16365	16365
Sun Jun 23 15:32:33 2013	1372001553	0	17094	17094	17094
Sun Jun 23 15:31:44 2013	1372001504	0	17199	17200	17199
Sun Jun 23 15:30:59 2013	1372001459	0	20692	20692	20692
Sun Jun 23 15:30:38 2013	1372001438	0	21089	21090	21089
