starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 20:04:08 2013	1372017848	0	2193	2193	2193
Sun Jun 23 20:04:06 2013	1372017846	0	2216	2216	2216
Sun Jun 23 20:04:10 2013	1372017850	0	2233	2233	2233
Sun Jun 23 20:04:02 2013	1372017842	0	2234	2234	2234
Sun Jun 23 20:04:13 2013	1372017853	0	2243	2244	2243
Sun Jun 23 20:04:04 2013	1372017844	0	2252	2252	2252
Sun Jun 23 20:03:58 2013	1372017838	0	3485	3485	3485
Sun Jun 23 20:03:51 2013	1372017831	0	6853	6853	6853
Sun Jun 23 20:03:29 2013	1372017809	1	10611	10612	10610
Sun Jun 23 20:03:39 2013	1372017819	0	11847	11847	11847
