starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 15:29:16 2013	1372001356	0	4153	4153	4153
Sun Jun 23 15:29:11 2013	1372001351	0	4154	4154	4154
Sun Jun 23 15:29:20 2013	1372001360	0	4415	4415	4415
Sun Jun 23 15:29:29 2013	1372001369	0	4484	4484	4484
Sun Jun 23 15:29:07 2013	1372001347	0	4682	4682	4682
Sun Jun 23 15:29:24 2013	1372001364	0	4757	4757	4757
Sun Jun 23 15:28:54 2013	1372001334	0	12416	12416	12416
Sun Jun 23 15:28:35 2013	1372001315	0	19574	19574	19574
Sun Jun 23 15:27:54 2013	1372001274	1	20003	20004	20000
Sun Jun 23 15:28:14 2013	1372001294	0	20278	20278	20278
