starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 21:24:36 2013	1372022676	0	2173	2173	2173
Sun Jun 23 21:24:40 2013	1372022680	0	2186	2186	2185
Sun Jun 23 21:24:45 2013	1372022685	0	2193	2193	2193
Sun Jun 23 21:24:38 2013	1372022678	0	2206	2206	2205
Sun Jun 23 21:24:47 2013	1372022687	0	2216	2216	2216
Sun Jun 23 21:24:43 2013	1372022683	0	2227	2227	2226
Sun Jun 23 21:24:33 2013	1372022673	1	2949	2949	2949
Sun Jun 23 21:24:27 2013	1372022667	0	6032	6032	6032
Sun Jun 23 21:24:09 2013	1372022649	0	8459	8460	8458
Sun Jun 23 21:24:17 2013	1372022657	0	9907	9907	9907
