starttime	seconds	ctime	dtime	ttime	wait
Sun Jun 23 20:08:33 2013	1372018113	0	4101	4101	4101
Sun Jun 23 20:08:37 2013	1372018117	0	4105	4105	4105
Sun Jun 23 20:08:41 2013	1372018121	0	4129	4129	4129
Sun Jun 23 20:08:29 2013	1372018109	0	4422	4422	4422
Sun Jun 23 20:08:14 2013	1372018094	0	14896	14896	14895
Sun Jun 23 20:07:12 2013	1372018032	0	19323	19323	19323
Sun Jun 23 20:06:32 2013	1372017992	1	19879	19879	19877
Sun Jun 23 20:06:52 2013	1372018012	0	20193	20193	20193
Sun Jun 23 20:07:31 2013	1372018051	0	21290	21290	21290
Sun Jun 23 20:07:53 2013	1372018073	0	21350	21350	21349
