starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 24 19:18:33 2013	1372101513	0	271	271	268
Mon Jun 24 19:18:34 2013	1372101514	0	272	272	269
Mon Jun 24 19:18:34 2013	1372101514	0	272	272	270
Mon Jun 24 19:18:35 2013	1372101515	0	274	274	271
Mon Jun 24 19:18:36 2013	1372101516	0	275	275	272
Mon Jun 24 19:18:34 2013	1372101514	0	275	275	272
Mon Jun 24 19:18:35 2013	1372101515	0	276	276	274
Mon Jun 24 19:18:34 2013	1372101514	0	277	277	275
Mon Jun 24 19:18:35 2013	1372101515	0	278	278	274
Mon Jun 24 19:18:32 2013	1372101512	0	1845	1845	1840
