starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 24 19:18:00 2013	1372101480	0	257	257	253
Mon Jun 24 19:17:59 2013	1372101479	0	267	267	264
Mon Jun 24 19:17:59 2013	1372101479	0	269	269	262
Mon Jun 24 19:18:01 2013	1372101481	0	273	274	270
Mon Jun 24 19:17:59 2013	1372101479	0	274	274	271
Mon Jun 24 19:17:59 2013	1372101479	0	275	275	271
Mon Jun 24 19:18:00 2013	1372101480	0	275	275	272
Mon Jun 24 19:18:01 2013	1372101481	0	276	276	272
Mon Jun 24 19:18:00 2013	1372101480	0	276	276	273
Mon Jun 24 19:18:01 2013	1372101481	0	287	287	283
