dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	3.4	2.3	0.0	1.5	3.8	1.4	18769.4	4.5	136.220472440945
40	1.5	1.5	0.0	0.0	0.0	0.0	0.0	0.4	101
60	3.2	2.1	0.0	1.4	3.8	1.4	29037.5	3.8	143.90243902439
80	1.2	1.2	0.0	0.0	0.0	0.0	0.0	0.3	101
100	3.1	2.1	0.0	1.3	3.8	1.5	31353.0	4.1	136.220472440945
120	1.2	1.2	0.0	0.0	0.0	0.0	0.0	0.3	101
140	3.5	2.3	0.0	1.5	3.6	1.5	24640.0	4.7	134.375
160	1.2	1.2	0.0	0.0	0.0	0.0	0.0	0.3	101
180	3.5	2.3	0.0	1.5	4.0	1.5	23853.0	4.7	136.220472440945
200	1.2	1.2	0.0	0.0	0.0	0.0	0.0	0.3	101
