dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	3.6	2.4	0.0	1.6	4.0	1.4	20190.1	4.6	130.769230769231
40	1.3	1.1	0.0	0.3	2.8	0.7	47646.7	1.3	407.692307692308
60	3.6	2.4	0.0	1.6	3.8	1.4	21865.5	4.7	129.007633587786
80	1.5	1.5	0.0	0.0	0.0	0.0	0.0	0.4	101
100	3.0	2.0	0.0	1.0	3.6	1.5	29425.4	1.2	206.382978723404
120	1.2	1.2	0.0	0.0	0.0	0.0	0.0	0.3	101
140	2.9	2.0	0.0	1.0	3.6	1.5	29083.0	1.2	213.636363636364
160	1.2	1.2	0.0	0.0	0.0	0.0	0.0	0.3	101
180	3.0	2.0	0.0	1.0	3.6	1.5	28868.6	1.2	204.166666666667
200	1.2	1.2	0.0	0.0	0.0	0.0	0.0	0.3	101
