dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	2.6	2.6	0.0	0.0	0.0	0.0	2183.7	16.5	0
40	2.6	2.6	0.0	0.0	0.0	0.0	2144.5	16.5	0
60	2.8	2.8	0.0	0.0	0.0	0.0	2145.2	17.3	0
80	2.7	2.7	0.0	0.0	0.0	0.0	2241.4	17.1	0
100	2.7	2.7	0.0	0.0	0.0	0.0	2251.6	17.2	0
120	2.7	2.7	0.0	0.0	0.0	0.0	2302.0	16.9	0
140	2.4	2.4	0.0	0.0	0.0	0.0	2414.8	15.4	0
160	2.7	2.7	0.0	0.0	0.0	0.0	2289.0	17.0	0
180	2.4	2.4	0.0	0.0	0.0	0.0	2386.5	15.1	0
200	2.7	2.7	0.0	0.0	0.0	0.0	2395.0	16.7	0
