dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
20	4.8	3.2	2.6	3.2	3.6	0.4	20412.9	11.9	50
40	4.8	3.2	2.6	3.2	3.8	0.4	21183.4	12.1	50
60	4.6	3.1	2.6	3.1	4.0	0.5	22072.8	11.5	50
80	4.8	3.2	2.8	3.2	4.0	0.4	21646.5	11.9	50
100	4.8	3.2	2.6	3.2	3.8	0.4	21720.6	11.9	50
120	4.8	3.2	2.8	3.2	3.8	0.3	21869.0	11.9	50
140	4.8	3.2	2.6	3.1	3.6	0.4	22023.9	11.9	50
160	4.8	3.2	2.8	3.2	3.6	0.3	21779.5	12.0	50
180	4.8	3.2	2.6	3.2	3.6	0.4	21796.9	11.9	50
200	4.8	3.2	2.6	3.2	4.0	0.4	21699.3	12.0	50
