starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 24 19:53:55 2013	1372103635	0	270	270	270
Mon Jun 24 19:53:47 2013	1372103627	0	271	271	270
Mon Jun 24 19:53:40 2013	1372103620	0	271	271	270
Mon Jun 24 19:53:53 2013	1372103633	0	271	271	270
Mon Jun 24 19:53:43 2013	1372103623	0	271	271	271
Mon Jun 24 19:53:59 2013	1372103639	0	271	271	271
Mon Jun 24 19:54:02 2013	1372103642	0	272	272	271
Mon Jun 24 19:53:39 2013	1372103619	0	274	275	274
Mon Jun 24 19:54:04 2013	1372103644	0	276	276	275
Mon Jun 24 19:54:02 2013	1372103642	0	359	359	359
Mon Jun 24 19:53:36 2013	1372103616	1	2548	2549	2547
