starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 24 20:05:36 2013	1372104336	0	279	279	279
Mon Jun 24 20:05:35 2013	1372104335	0	282	282	282
Mon Jun 24 20:05:22 2013	1372104322	0	282	282	282
Mon Jun 24 20:05:42 2013	1372104342	0	282	282	282
Mon Jun 24 20:05:23 2013	1372104323	0	284	284	284
Mon Jun 24 20:05:22 2013	1372104322	0	287	287	287
Mon Jun 24 20:05:32 2013	1372104332	0	304	304	304
Mon Jun 24 20:05:46 2013	1372104346	0	403	403	403
Mon Jun 24 20:05:36 2013	1372104336	0	409	409	408
Mon Jun 24 20:05:25 2013	1372104325	0	410	410	410
Mon Jun 24 20:05:18 2013	1372104318	2	2852	2854	2850
