starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 24 19:55:25 2013	1372103725	0	274	274	274
Mon Jun 24 19:55:09 2013	1372103709	0	274	274	274
Mon Jun 24 19:55:33 2013	1372103733	0	274	274	274
Mon Jun 24 19:55:22 2013	1372103722	0	274	274	274
Mon Jun 24 19:55:26 2013	1372103726	0	275	275	274
Mon Jun 24 19:55:23 2013	1372103723	0	276	276	276
Mon Jun 24 19:55:23 2013	1372103723	0	276	276	276
Mon Jun 24 19:55:16 2013	1372103716	0	289	289	289
Mon Jun 24 19:55:25 2013	1372103725	0	335	335	335
Mon Jun 24 19:55:27 2013	1372103727	0	369	369	369
Mon Jun 24 19:55:07 2013	1372103707	1	2738	2739	2735
