starttime	seconds	ctime	dtime	ttime	wait
Mon Jun 24 19:47:19 2013	1372103239	0	274	274	272
Mon Jun 24 19:47:43 2013	1372103263	0	274	274	270
Mon Jun 24 19:47:28 2013	1372103248	0	274	274	270
Mon Jun 24 19:47:20 2013	1372103240	0	274	275	272
Mon Jun 24 19:47:23 2013	1372103243	0	275	275	272
Mon Jun 24 19:47:17 2013	1372103237	0	276	276	273
Mon Jun 24 19:47:21 2013	1372103241	0	287	287	284
Mon Jun 24 19:47:24 2013	1372103244	0	343	343	340
Mon Jun 24 19:47:16 2013	1372103236	0	350	351	345
Mon Jun 24 19:47:17 2013	1372103237	0	356	356	353
Mon Jun 24 19:47:21 2013	1372103241	0	357	357	353
